"DisplayName","Direction","Action","Enabled","Profile"
"Core Networking - Dynamic Host Configuration Protocol (DHCP-Out)","Outbound","Allow","True","Any"
"Core Networking - IPHTTPS (TCP-In)","Inbound","Allow","True","Any"
"Network Discovery (WSD Events-Out)","Outbound","Allow","True","Public"
"Windows Defender Firewall Remote Management (RPC)","Inbound","Allow","False","Private, Public"
"AllJoyn Router (TCP-In)","Inbound","Allow","True","Domain, Private"
"AllJoyn Router (UDP-In)","Inbound","Allow","True","Domain, Private"
"Remote Assistance (PNRP-Out)","Outbound","Allow","True","Domain, Private"
"Core Networking - Multicast Listener Done (ICMPv6-In)","Inbound","Allow","True","Any"
"Connected User Experiences and Telemetry","Outbound","Allow","True","Any"
"Network Discovery (WSD EventsSecure-In)","Inbound","Allow","True","Public"
"Core Networking - Destination Unreachable (ICMPv6-In)","Inbound","Allow","True","Any"
"Wi-Fi Direct Scan Service Use (Out)","Outbound","Allow","True","Public"
"Network Discovery (NB-Datagram-In)","Inbound","Allow","True","Private"
"Connected Devices Platform - Wi-Fi Direct Transport (TCP-In)","Inbound","Allow","True","Public"
"Remote Scheduled Tasks Management (RPC)","Inbound","Allow","False","Private, Public"
"Network Discovery (SSDP-Out)","Outbound","Allow","True","Domain, Public"
"Core Networking Diagnostics - ICMP Echo Request (ICMPv4-Out)","Outbound","Allow","False","Private, Public"
"mDNS (UDP-Out)","Outbound","Allow","True","Private"
"Network Discovery (NB-Datagram-Out)","Outbound","Allow","True","Domain"
"Performance Logs and Alerts (DCOM-In)","Inbound","Allow","False","Domain"
"Routing and Remote Access (PPTP-Out)","Outbound","Allow","False","Any"
"Performance Logs and Alerts (TCP-In)","Inbound","Allow","False","Domain"
"Windows Remote Management (HTTP-In)","Inbound","Allow","False","Domain, Private"
"Network Discovery (WSD-Out)","Outbound","Allow","True","Domain, Public"
"Network Discovery (WSD Events-In)","Inbound","Allow","True","Public"
"Core Networking - Neighbor Discovery Solicitation (ICMPv6-Out)","Outbound","Allow","True","Any"
"Wi-Fi Direct Network Discovery (In)","Inbound","Allow","True","Public"
"Windows Peer to Peer Collaboration Foundation (PNRP-Out)","Outbound","Allow","False","Any"
"Wireless Display (TCP-In)","Inbound","Allow","True","Any"
"Windows Collaboration Computer Name Registration Service (SSDP-In)","Inbound","Allow","False","Any"
"Network Discovery (UPnP-In)","Inbound","Allow","True","Domain"
"Performance Logs and Alerts (DCOM-In)","Inbound","Allow","False","Private, Public"
"Core Networking - IPv6 (IPv6-Out)","Outbound","Allow","True","Any"
"Network Discovery (WSD EventsSecure-Out)","Outbound","Allow","True","Private"
"Remote Event Log Management (RPC-EPMAP)","Inbound","Allow","False","Private, Public"
"Core Networking Diagnostics - ICMP Echo Request (ICMPv6-Out)","Outbound","Allow","False","Domain"
"Windows Management Instrumentation (DCOM-In)","Inbound","Allow","False","Domain"
"Remote Assistance (SSDP TCP-In)","Inbound","Allow","True","Domain, Private"
"Distributed Transaction Coordinator (RPC)","Inbound","Allow","False","Domain"
"Proximity sharing over TCP (TCP sharing-In)","Inbound","Allow","True","Any"
"iSCSI Service (TCP-Out)","Outbound","Allow","False","Domain"
"Network Discovery (Pub-WSD-In)","Inbound","Allow","True","Domain, Public"
"Core Networking - Internet Group Management Protocol (IGMP-In)","Inbound","Allow","True","Any"
"Core Networking - Group Policy (NP-Out)","Outbound","Allow","True","Domain"
"Windows Management Instrumentation (WMI-In)","Inbound","Allow","False","Domain"
"Core Networking - Multicast Listener Report v2 (ICMPv6-In)","Inbound","Allow","True","Any"
"Remote Volume Management - Virtual Disk Service Loader (RPC)","Inbound","Allow","False","Domain"
"Network Discovery (WSD-Out)","Outbound","Allow","True","Private"
"Network Discovery (WSD-In)","Inbound","Allow","True","Domain, Public"
"Remote Event Log Management (RPC)","Inbound","Allow","False","Domain"
"Core Networking - Multicast Listener Query (ICMPv6-In)","Inbound","Allow","True","Any"
"Windows Peer to Peer Collaboration Foundation (SSDP-In)","Inbound","Allow","False","Any"
"Windows Device Management Sync Client (TCP out)","Outbound","Allow","True","Any"
"Core Networking - Multicast Listener Report (ICMPv6-In)","Inbound","Allow","True","Any"
"Core Networking Diagnostics - ICMP Echo Request (ICMPv4-In)","Inbound","Allow","False","Domain"
"Secure Socket Tunneling Protocol (SSTP-In)","Inbound","Allow","False","Any"
"DIAL protocol server (HTTP-In)","Inbound","Allow","True","Private"
"Distributed Transaction Coordinator (TCP-In)","Inbound","Allow","False","Private, Public"
"Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-Out)","Outbound","Allow","True","Any"
"Remote Volume Management - Virtual Disk Service (RPC)","Inbound","Allow","False","Domain"
"Windows Management Instrumentation (WMI-Out)","Outbound","Allow","False","Domain"
"Netlogon Service Authz (RPC)","Inbound","Allow","False","Any"
"Core Networking - Time Exceeded (ICMPv6-In)","Inbound","Allow","True","Any"
"mDNS (UDP-In)","Inbound","Allow","True","Domain"
"Windows Peer to Peer Collaboration Foundation (TCP-In)","Inbound","Allow","False","Any"
"Remote Assistance (TCP-In)","Inbound","Allow","True","Domain, Private"
"Network Discovery (UPnPHost-Out)","Outbound","Allow","True","Private"
"Core Networking Diagnostics - ICMP Echo Request (ICMPv4-In)","Inbound","Allow","False","Private, Public"
"Windows Remote Management - Compatibility Mode (HTTP-In)","Inbound","Allow","False","Domain"
"Network Discovery (NB-Name-Out)","Outbound","Allow","True","Private"
"Routing and Remote Access (GRE-Out)","Outbound","Allow","False","Any"
"Distributed Transaction Coordinator (TCP-In)","Inbound","Allow","False","Domain"
"Network Discovery (NB-Name-Out)","Outbound","Allow","True","Domain"
"Core Networking - Group Policy (TCP-Out)","Outbound","Allow","True","Domain"
"Core Networking Diagnostics - ICMP Echo Request (ICMPv6-In)","Inbound","Allow","False","Domain"
"mDNS (UDP-In)","Inbound","Allow","True","Public"
"Windows Media Player Network Sharing Service (Streaming-TCP-Out)","Outbound","Allow","False","Private, Public"
"Windows Media Player (UDP-In)","Inbound","Allow","False","Any"
"Cast to Device functionality (qWave-TCP-Out)","Outbound","Allow","True","Private, Public"
"Cast to Device streaming server (RTCP-Streaming-In)","Inbound","Allow","True","Private"
"Media Center Extenders - HTTP Streaming (TCP-In)","Inbound","Allow","False","Any"
"Wireless Portable Devices (TCP-Out)","Outbound","Allow","False","Private, Public"
"Media Center Extenders - qWave (UDP-In)","Inbound","Allow","False","Any"
"Cast to Device streaming server (RTP-Streaming-Out)","Outbound","Allow","True","Public"
"Cast to Device streaming server (RTP-Streaming-Out)","Outbound","Allow","True","Private"
"Media Center Extenders - Device Provisioning (TCP-Out)","Outbound","Allow","False","Any"
"Windows Media Player Network Sharing Service (qWave-TCP-In)","Inbound","Allow","False","Private, Public"
"Windows Media Player Network Sharing Service (qWave-UDP-In)","Inbound","Allow","False","Private, Public"
"Cast to Device streaming server (RTCP-Streaming-In)","Inbound","Allow","True","Domain"
"Windows Media Player Network Sharing Service (UPnP-In)","Inbound","Allow","False","Any"
"Windows Media Player Network Sharing Service (Streaming-UDP-Out)","Outbound","Allow","False","Domain"
"Windows Media Player Network Sharing Service (UPnPHost-Out)","Outbound","Allow","False","Any"
"Windows Media Player Network Sharing Service (UDP-In)","Inbound","Allow","False","Domain"
"Windows Media Player Network Sharing Service (TCP-In)","Inbound","Allow","False","Domain"
"Windows Media Player Network Sharing Service (qWave-TCP-In)","Inbound","Allow","False","Domain"
"Cast to Device streaming server (RTSP-Streaming-In)","Inbound","Allow","True","Domain"
"Media Center Extenders - WMDRM-ND/RTP/RTCP (UDP-In)","Inbound","Allow","False","Any"
"Windows Media Player x86 (UDP-In)","Inbound","Allow","False","Any"
"Windows Media Player Network Sharing Service (UDP-In)","Inbound","Allow","False","Private, Public"
"Windows Media Player Network Sharing Service (TCP-In)","Inbound","Allow","False","Private, Public"
"Wireless Portable Devices (TCP-Out)","Outbound","Allow","False","Domain"
"Windows Media Player Network Sharing Service (Streaming-UDP-In)","Inbound","Allow","False","Domain"
"Cast to Device functionality (qWave-UDP-In)","Inbound","Allow","True","Private, Public"
"Windows Media Player Network Sharing Service (HTTP-Streaming-Out)","Outbound","Allow","False","Domain"
"Windows Media Player Network Sharing Service (Streaming-UDP-In)","Inbound","Allow","False","Private, Public"
"Media Center Extenders - RTSP (TCP-In)","Inbound","Allow","False","Any"
"Media Center Extenders - qWave (UDP-Out)","Outbound","Allow","False","Any"
"Media Center Extenders - qWave (TCP-Out)","Outbound","Allow","False","Any"
"Cast to Device functionality (qWave-UDP-Out)","Outbound","Allow","True","Private, Public"
"Media Center Extenders - XSP (TCP-In)","Inbound","Allow","False","Any"
"Windows Media Player Network Sharing Service (SSDP-Out)","Outbound","Allow","False","Any"
"Windows Media Player Network Sharing Service (qWave-TCP-Out)","Outbound","Allow","False","Private, Public"
"Windows Media Player Network Sharing Service (Streaming-TCP-Out)","Outbound","Allow","False","Domain"
"Windows Media Player Network Sharing Service (UPnP-Out)","Outbound","Allow","False","Any"
"Windows Media Player Network Sharing Service (SSDP-In)","Inbound","Allow","False","Any"
"Wireless Portable Devices (UPnP-In)","Inbound","Allow","False","Any"
"Windows Media Player Network Sharing Service (HTTP-Streaming-Out)","Outbound","Allow","False","Private, Public"
"Wireless Portable Devices (UPnP-Out)","Outbound","Allow","False","Any"
"Windows Media Player Network Sharing Service (UDP-Out)","Outbound","Allow","False","Private, Public"
"Windows Media Player Network Sharing Service (HTTP-Streaming-In)","Inbound","Allow","False","Private, Public"
"Windows Media Player Network Sharing Service (qWave-UDP-Out)","Outbound","Allow","False","Private, Public"
"Cast to Device streaming server (HTTP-Streaming-In)","Inbound","Allow","True","Private"
"Cast to Device functionality (qWave-TCP-In)","Inbound","Allow","True","Private, Public"
"Media Center Extenders - SSDP (UDP-In)","Inbound","Allow","False","Any"
"Windows Media Player Network Sharing Service (qWave-UDP-Out)","Outbound","Allow","False","Domain"
"Windows Media Player Network Sharing Service (qWave-TCP-Out)","Outbound","Allow","False","Domain"
"Media Center Extenders - UPnP (TCP-Out)","Outbound","Allow","False","Any"
"Media Center Extenders - Service (TCP-Out)","Outbound","Allow","False","Any"
"Windows Media Player Network Sharing Service (TCP-Out)","Outbound","Allow","False","Private, Public"
"Cast to Device SSDP Discovery (UDP-In)","Inbound","Allow","True","Public"
"Media Center Extenders - Device Validation (TCP-Out)","Outbound","Allow","False","Any"
"Wireless Portable Devices (SSDP-In)","Inbound","Allow","False","Any"
"Cast to Device streaming server (RTP-Streaming-Out)","Outbound","Allow","True","Domain"
"Wireless Portable Devices (SSDP-Out)","Outbound","Allow","False","Any"
"Wireless Portable Devices (UPnPHost-Out)","Outbound","Allow","False","Any"
"Cast to Device UPnP Events (TCP-In)","Inbound","Allow","True","Public"
"Media Center Extenders - RTSP (TCP-Out)","Outbound","Allow","False","Any"
"Media Center Extenders - WMDRM-ND/RTP/RTCP (UDP-Out)","Outbound","Allow","False","Any"
"Media Center Extenders - Media Streaming (UDP-Out)","Outbound","Allow","False","Any"
"Cast to Device streaming server (RTSP-Streaming-In)","Inbound","Allow","True","Private"
"Windows Media Player Network Sharing Service (UDP-Out)","Outbound","Allow","False","Domain"
"Cast to Device streaming server (RTCP-Streaming-In)","Inbound","Allow","True","Public"
"Media Center Extenders - Media Streaming (TCP-In)","Inbound","Allow","False","Any"
"Media Center Extenders - SSDP (UDP-Out)","Outbound","Allow","False","Any"
"Media Center Extenders - Media Streaming (TCP-Out)","Outbound","Allow","False","Any"
"Windows Media Player x86 (UDP-Out)","Outbound","Allow","False","Any"
"Windows Media Player x86 (TCP-Out)","Outbound","Allow","False","Any"
"Cast to Device streaming server (HTTP-Streaming-In)","Inbound","Allow","True","Domain"
"Cast to Device streaming server (HTTP-Streaming-In)","Inbound","Allow","True","Public"
"Cast to Device streaming server (RTSP-Streaming-In)","Inbound","Allow","True","Public"
"Windows Media Player Network Sharing Service (Streaming-UDP-Out)","Outbound","Allow","False","Private, Public"
"Windows Media Player Network Sharing Service (HTTP-Streaming-In)","Inbound","Allow","False","Domain"
"Windows Media Player (UDP-Out)","Outbound","Allow","False","Any"
